#JUST SAMPLE DATA

"BB1  1DA","BB1 1DA","199612","","3686","04278","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMA","E00063404","Q84","Y51","E01012572","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368693","0427874","E00063404","E01012572","E02002621","E56000018","QE1"
"BB1  1DB","BB1 1DB","198001","","3686","04276","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368601","0427639","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1DD","BB1 1DD","198001","200802","3686","04276","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368665","0427641","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1DE","BB1 1DE","198001","","3686","04276","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368662","0427649","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1DF","BB1 1DF","200805","","3689","04278","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE08","LSFE08","1","00EXMA","E00063405","Q84","Y51","E01012572","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368924","0427829","E00063405","E01012572","E02002621","E56000018","QE1"
"BB1  1DG","BB1 1DG","199507","","3684","04276","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368409","0427636","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1DH","BB1 1DH","198001","","3688","04276","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE08","LSFE08","1","00EXMA","E00063407","Q84","Y51","E01012572","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368879","0427668","E00063407","E01012572","E02002621","E56000018","QE1"
"BB1  1DJ","BB1 1DJ","198607","","3685","04275","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMQ","E00063672","Q84","Y51","E01012629","5","E02002620","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368571","0427581","E00063672","E01012629","E02002620","E56000018","QE1"
"BB1  1DL","BB1 1DL","198803","","3689","04279","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE07","LSFE07","1","00EXMA","E00063404","Q84","Y51","E01012572","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368924","0427949","E00063404","E01012572","E02002621","E56000018","QE1"
"BB1  1DN","BB1 1DN","198001","","3689","04276","E99999999","324","E06000008","E05011511","0","1","E92000001","Q31","E12000002","QCX","Y62","00Q","30UBFE08","LSFE08","1","00EXMA","E00063407","Q84","Y51","E01012572","5","E02002621","N01","N51","Q13","5CC","Y42","E14000570","Y1701","TAP","368932","0427674","E00063407","E01012572","E02002621","E56000018","QE1"
